width,height,megapixels,aspect_ratio,brightness,contrast,sharpness,colorfulness,subject_ratio,edge_density,quality_score,label
1058,797,0.8434,1.3261,144.473,51.594,141.068,36.343,0.7674,0.0839,41.55,보정 권장
1953,2010,3.9253,0.9719,130.564,28.538,190.343,73.634,0.1913,0.0498,61.69,보정 권장
596,735,0.438,0.8106,121.165,50.413,407.845,34.551,0.6967,0.1188,53.34,보정 권장
839,1032,0.8658,0.8137,91.606,25.082,120.897,11.768,0.2716,0.0422,26.0,재촬영 권장
3035,2580,7.8293,1.1766,122.12,57.43,494.3,27.257,0.3484,0.1299,82.81,제작 적합
1380,1146,1.5814,1.2042,175.388,64.041,1704.974,16.353,0.5511,0.4511,70.45,보정 권장
2209,1928,4.2592,1.1454,120.239,49.902,236.457,24.458,0.672,0.0532,66.47,보정 권장
1448,1710,2.4754,0.8467,89.408,11.65,74.553,24.364,0.2424,0.0364,38.98,재촬영 권장
1389,1310,1.8197,1.0598,105.31,27.598,74.529,21.782,0.3577,0.049,39.59,재촬영 권장
2651,2575,6.8251,1.0296,133.034,55.165,502.889,10.494,0.4676,0.1414,82.75,제작 적합
1307,1237,1.6163,1.0562,110.059,45.382,236.912,52.295,0.4165,0.0592,57.47,보정 권장
708,569,0.4027,1.2434,144.412,3.0,550.38,34.184,0.6037,0.1782,54.2,보정 권장
1013,958,0.9707,1.0575,145.914,67.371,154.654,26.843,0.98,0.0733,39.81,재촬영 권장
1973,1665,3.2845,1.185,160.559,47.46,527.961,40.607,0.5255,0.1312,84.27,제작 적합
1704,1675,2.8551,1.017,181.942,30.257,216.804,36.595,0.3177,0.0483,54.76,보정 권장
724,674,0.4881,1.075,164.834,62.909,129.309,33.86,0.2166,0.0333,36.06,재촬영 권장
1105,943,1.0421,1.171,87.63,32.804,174.262,39.59,0.3915,0.0745,40.43,재촬영 권장
907,1306,1.1848,0.6947,88.859,32.608,85.124,31.875,0.2808,0.0468,33.05,보정 권장
1153,1249,1.4394,0.9232,121.969,51.45,1497.998,39.383,0.5342,0.4103,77.72,제작 적합
718,808,0.5797,0.8891,106.953,77.059,229.228,40.544,0.5314,0.0708,53.16,재촬영 권장
984,1154,1.1361,0.8524,79.467,74.225,446.538,32.278,0.3666,0.1131,60.55,보정 권장
984,1055,1.0381,0.9335,107.332,51.475,154.204,26.914,0.8073,0.0769,39.63,보정 권장
2412,1660,4.0049,1.4532,106.019,53.323,97.001,51.426,0.3176,0.0332,62.02,보정 권장
1827,2268,4.1427,0.8054,98.126,59.247,202.546,23.309,0.4285,0.0744,65.47,보정 권장
1495,1173,1.754,1.2739,112.368,22.374,673.531,35.478,0.565,0.1574,70.48,보정 권장
961,1463,1.4054,0.6566,172.138,56.595,156.46,35.795,0.6106,0.0477,47.77,보정 권장
1444,1571,2.2684,0.9197,132.97,31.787,114.204,21.466,0.68,0.0687,49.42,재촬영 권장
999,960,0.9591,1.0415,223.872,50.733,287.545,18.69,0.5271,0.0776,39.23,보정 권장
908,784,0.7125,1.1578,131.82,40.906,391.733,25.046,0.6392,0.1342,53.28,보정 권장
1012,848,0.8581,1.1946,113.397,54.022,1096.66,23.109,0.3303,0.2475,64.76,보정 권장
1174,962,1.1295,1.2194,125.165,47.126,343.723,9.586,0.6153,0.0947,52.91,보정 권장
802,875,0.7019,0.9165,135.26,3.0,446.328,20.879,0.6129,0.1282,50.1,재촬영 권장
1436,1612,2.3141,0.8908,142.41,48.22,477.617,33.727,0.7223,0.1743,72.35,보정 권장
2186,1764,3.857,1.2392,208.068,56.559,88.566,47.723,0.1497,0.0188,49.32,보정 권장
676,709,0.4794,0.9533,91.187,53.027,105.053,37.761,0.2867,0.0597,34.24,보정 권장
1219,1678,2.0457,0.7269,159.362,43.153,94.25,2.0,0.5982,0.0647,43.72,재촬영 권장
1112,1476,1.6408,0.7533,133.31,74.559,75.379,38.978,0.02,0.0244,47.33,재촬영 권장
1470,1850,2.7197,0.7946,62.156,50.605,511.514,22.186,0.5386,0.1404,71.08,보정 권장
1496,1321,1.9768,1.1323,155.828,52.878,324.572,36.343,0.6408,0.104,62.84,보정 권장
748,722,0.5406,1.0362,175.705,63.801,268.542,29.802,0.3463,0.0575,44.27,보정 권장
874,735,0.6421,1.1884,90.713,51.527,24.24,27.302,0.3726,0.017,32.3,보정 권장
1359,1512,2.0537,0.8987,124.643,28.836,1589.842,28.569,0.2567,0.443,71.07,제작 적합
2292,2203,5.0483,1.0404,55.986,3.0,111.789,29.686,0.3561,0.0584,44.05,보정 권장
565,483,0.2726,1.1693,74.648,36.412,1584.608,48.822,0.3613,0.413,54.38,보정 권장
1590,1717,2.73,0.9256,166.921,58.697,67.839,29.725,0.3271,0.0392,54.09,보정 권장
2557,2281,5.8346,1.121,106.343,38.644,120.337,45.198,0.3172,0.0617,59.73,보정 권장
1215,1434,1.7427,0.8475,80.648,59.421,34.429,43.159,0.4012,0.0441,46.82,재촬영 권장
1731,1896,3.2816,0.9132,134.178,47.677,346.324,39.339,0.399,0.0955,77.38,제작 적합
983,1081,1.0622,0.909,104.104,68.185,92.789,4.987,0.7873,0.0739,36.59,재촬영 권장
1154,1556,1.7963,0.7416,106.167,39.686,95.179,45.633,0.379,0.0701,49.0,보정 권장
725,642,0.465,1.1295,154.573,53.417,72.69,23.589,0.5119,0.0517,36.69,재촬영 권장
464,522,0.2425,0.8893,78.531,54.106,503.247,40.02,0.3462,0.129,52.91,보정 권장
2165,2158,4.6722,1.0031,88.785,72.029,474.271,16.385,0.3439,0.1182,76.8,제작 적합
964,855,0.8242,1.1277,131.163,14.281,1277.029,13.409,0.1432,0.3327,52.27,재촬영 권장
1218,1090,1.3273,1.1181,163.776,36.749,134.872,57.669,0.1672,0.0549,39.24,재촬영 권장
824,697,0.5743,1.181,174.526,60.273,304.417,16.602,0.2327,0.0607,40.18,재촬영 권장
741,759,0.5622,0.9757,98.398,72.826,78.34,46.045,0.4831,0.0495,45.2,보정 권장
1240,1379,1.7103,0.8996,162.495,49.321,184.92,31.658,0.6437,0.092,50.21,보정 권장
1008,1029,1.0372,0.9803,93.634,39.731,156.726,24.118,0.1284,0.0707,32.5,재촬영 권장
1358,2070,2.8104,0.6558,198.048,58.628,379.732,29.372,0.3512,0.1014,66.01,보정 권장
1447,2077,3.0055,0.6964,79.649,60.637,624.393,11.785,0.204,0.1602,75.08,제작 적합
1385,1928,2.6696,0.7184,178.139,38.526,609.977,29.807,0.4024,0.1785,75.74,제작 적합
1390,1784,2.4791,0.7793,98.741,50.946,117.088,14.842,0.6436,0.0462,50.84,보정 권장
3024,2736,8.2742,1.1051,205.53,66.249,614.053,24.464,0.3696,0.1824,78.94,제작 적합
781,980,0.7651,0.7974,148.653,79.028,240.275,42.954,0.4414,0.0921,56.04,보정 권장
1316,1446,1.9035,0.9098,84.359,58.367,186.667,33.559,0.7119,0.0885,50.85,보정 권장
2770,2001,5.5432,1.3838,104.11,45.795,132.132,9.25,0.5324,0.0304,57.55,보정 권장
2389,2612,6.2416,0.9148,156.247,44.027,151.036,41.921,0.3132,0.0622,61.39,보정 권장
818,680,0.5563,1.2025,167.106,55.033,1199.36,29.901,0.4786,0.3126,63.82,보정 권장
1093,1381,1.5099,0.7918,122.171,42.918,329.683,22.409,0.301,0.1004,54.98,보정 권장
2540,2674,6.79,0.9499,126.786,48.414,292.543,40.453,0.5257,0.1104,77.03,제작 적합
1578,2002,3.1595,0.7886,155.334,25.958,197.441,27.659,0.5428,0.0888,59.94,보정 권장
1480,1611,2.3842,0.9187,130.272,68.347,2000.0,13.681,0.2039,0.5,79.98,제작 적합
1424,1154,1.6442,1.2338,73.26,24.477,809.139,55.869,0.4815,0.2308,66.62,제작 적합
959,1477,1.4158,0.6493,92.481,37.222,130.648,29.758,0.4288,0.0505,42.31,보정 권장
1700,1525,2.5923,1.1147,134.405,46.757,195.431,28.861,0.548,0.0638,64.67,제작 적합
1300,1225,1.5936,1.0612,173.619,80.838,206.158,24.329,0.5996,0.0368,52.8,보정 권장
1288,1494,1.9248,0.862,189.639,37.392,285.073,46.52,0.5359,0.1181,55.38,보정 권장
1223,1755,2.1466,0.6966,156.181,33.012,133.001,22.652,0.3954,0.0468,47.74,재촬영 권장
1052,1033,1.0864,1.0182,136.492,35.085,371.072,8.37,0.618,0.1229,50.41,보정 권장
1682,1920,3.2286,0.876,154.953,74.86,923.656,20.499,0.2928,0.2645,85.57,제작 적합
3566,3365,12.0,1.0599,98.33,3.0,76.646,48.575,0.2123,0.0143,49.17,재촬영 권장
637,634,0.4041,1.0055,118.871,26.951,90.571,41.65,0.02,0.0242,25.6,재촬영 권장
1999,1339,2.6772,1.4925,92.035,90.0,161.842,26.43,0.4374,0.0914,62.86,보정 권장
975,1035,1.009,0.9419,75.05,55.636,168.738,49.226,0.3021,0.068,42.25,재촬영 권장
1614,2084,3.3629,0.7742,138.342,25.092,1510.325,40.471,0.5216,0.386,86.33,제작 적합
1477,1412,2.0856,1.0458,132.421,44.245,615.847,26.268,0.0952,0.1714,71.18,제작 적합
2048,1938,3.9702,1.0565,152.506,46.214,584.847,27.677,0.3335,0.1879,82.03,제작 적합
2845,2025,5.761,1.4047,146.844,60.23,197.065,34.61,0.5346,0.088,71.26,제작 적합
1712,1389,2.3782,1.2322,134.706,78.111,193.21,18.354,0.2646,0.039,61.34,보정 권장
2461,2251,5.54,1.0933,147.265,51.994,67.689,30.063,0.5237,0.0696,61.9,보정 권장
591,410,0.2425,1.4417,123.293,35.284,505.237,34.319,0.3497,0.1656,54.81,보정 권장
2493,3356,8.3692,0.7429,141.516,59.168,388.934,6.382,0.4441,0.1142,75.39,제작 적합
1546,1814,2.803,0.8522,95.954,32.431,795.411,27.35,0.5571,0.195,78.3,제작 적합
2046,2579,5.2762,0.7932,139.788,26.4,206.792,25.757,0.6215,0.0928,60.81,보정 권장
778,858,0.6671,0.9071,151.737,13.322,220.051,44.393,0.4666,0.0845,42.5,재촬영 권장
819,1156,0.9469,0.7088,98.213,16.828,291.343,4.177,0.3035,0.0637,35.26,재촬영 권장
1635,1395,2.2807,1.1721,127.073,28.864,557.894,24.659,0.3676,0.1548,73.26,제작 적합
1365,1443,1.9696,0.946,100.056,23.8,66.571,23.255,0.5647,0.0992,40.97,재촬영 권장
1337,1931,2.5803,0.6923,103.94,50.638,484.885,43.441,0.2662,0.1416,75.31,제작 적합
2029,2616,5.308,0.7758,80.003,23.411,245.431,29.39,0.4179,0.0665,57.09,보정 권장
665,614,0.4084,1.0815,175.631,3.0,96.417,55.145,0.3805,0.0239,27.89,재촬영 권장
2434,1974,4.8047,1.2331,167.627,26.21,38.295,39.271,0.4314,0.065,52.33,보정 권장
1822,1106,2.015,1.6474,146.497,36.507,221.104,24.257,0.2683,0.0922,50.76,보정 권장
1825,912,1.6649,2.0,203.888,34.102,920.027,33.355,0.1167,0.2782,54.99,재촬영 권장
768,693,0.5321,1.1092,117.43,72.351,1128.537,25.043,0.5437,0.3071,69.69,제작 적합
1567,2007,3.1452,0.7808,246.27,33.956,344.226,42.032,0.6235,0.1311,59.72,보정 권장
366,623,0.2277,0.5868,115.899,60.857,1461.569,11.349,0.1274,0.3684,54.24,보정 권장
1958,1831,3.5848,1.0692,135.208,44.658,240.523,18.468,0.5164,0.0834,68.62,제작 적합
653,800,0.5222,0.8161,109.089,44.239,589.594,36.38,0.645,0.1731,61.52,보정 권장
1375,1526,2.0986,0.9014,139.893,29.963,166.56,47.161,0.5573,0.0893,56.95,보정 권장
1242,1447,1.7966,0.8581,158.425,43.942,157.326,2.0,0.375,0.0657,44.33,재촬영 권장
2352,2436,5.7301,0.9654,120.443,31.228,135.871,49.243,0.2802,0.0415,60.2,보정 권장
1491,1142,1.7029,1.3054,196.069,48.06,39.134,28.038,0.4646,0.0311,39.2,재촬영 권장
1055,1015,1.0708,1.04,134.566,40.748,796.195,3.626,0.4946,0.1855,66.23,보정 권장
1104,1148,1.2677,0.9611,135.819,27.997,140.329,2.0,0.4672,0.0087,40.72,재촬영 권장
2203,2854,6.2886,0.7719,88.64,62.854,121.531,8.589,0.4176,0.067,57.18,보정 권장
1460,2219,3.2408,0.6579,141.74,52.683,86.443,29.724,0.2551,0.0341,58.56,보정 권장
1119,1263,1.4135,0.8855,119.639,36.935,208.0,29.077,0.5261,0.0668,51.62,보정 권장
1263,1280,1.6166,0.9866,100.67,47.619,1222.44,38.865,0.5348,0.3422,74.77,보정 권장
871,560,0.4881,1.5558,93.941,43.491,1645.603,22.307,0.4861,0.4593,59.13,보정 권장
1712,1657,2.8371,1.0331,231.871,29.383,56.074,14.487,0.47,0.0447,38.74,재촬영 권장
724,567,0.4104,1.2785,114.461,46.269,181.718,24.217,0.7523,0.104,35.89,재촬영 권장
1864,2111,3.9344,0.8827,66.721,33.822,98.548,30.471,0.3376,0.0547,48.2,재촬영 권장
1292,1738,2.2455,0.7436,97.071,27.991,608.481,33.231,0.6807,0.1782,70.56,제작 적합
3070,3908,12.0,0.7856,122.937,15.79,323.563,18.952,0.3179,0.1057,62.75,보정 권장
787,944,0.7431,0.8342,146.867,38.545,140.97,42.62,0.6496,0.0295,41.27,재촬영 권장
1762,1035,1.8235,1.7025,147.192,55.205,266.874,21.3,0.672,0.1058,56.48,보정 권장
2867,3520,10.0906,0.8144,152.065,32.496,162.68,17.824,0.3973,0.0118,56.72,보정 권장
2685,2177,5.8439,1.2332,99.206,90.0,1068.79,22.407,0.749,0.2755,84.01,제작 적합
923,1157,1.0688,0.7979,138.618,60.942,409.004,45.048,0.5344,0.1227,67.96,보정 권장
1757,1392,2.4466,1.2622,89.958,68.478,456.826,28.141,0.2921,0.1184,71.91,제작 적합
1485,1349,2.0036,1.101,100.214,59.314,22.674,20.277,0.3827,0.0166,47.08,보정 권장
1574,1637,2.5777,0.9616,88.292,78.352,235.415,42.966,0.6539,0.1156,66.44,보정 권장
1027,1038,1.0664,0.9899,77.464,30.834,1630.025,59.998,0.6162,0.4496,61.15,보정 권장
1252,1474,1.8455,0.849,167.568,3.0,824.665,32.936,0.2596,0.2124,62.67,보정 권장
728,652,0.4747,1.118,152.544,36.97,47.422,47.274,0.4249,0.0225,35.13,재촬영 권장
1420,1591,2.2586,0.8925,164.067,55.048,188.553,44.505,0.4866,0.0416,62.49,보정 권장
1486,2018,2.9987,0.7361,126.573,47.727,84.783,21.521,0.3586,0.0553,59.37,보정 권장
1088,1498,1.6298,0.7265,156.072,49.959,1166.138,30.373,0.8744,0.3065,66.01,보정 권장
699,669,0.4675,1.0441,54.548,68.776,311.473,12.044,0.4921,0.0585,41.68,재촬영 권장
2688,1811,4.8687,1.484,159.524,51.877,125.267,27.131,0.4389,0.0533,61.23,보정 권장
1700,1633,2.7766,1.0408,132.085,59.38,257.805,21.233,0.6644,0.0932,68.53,보정 권장
1005,1035,1.0405,0.9708,150.084,28.088,23.923,24.36,0.3843,0.0452,33.21,재촬영 권장
1292,1203,1.5536,1.0741,140.201,25.283,94.16,19.501,0.6313,0.0421,39.76,보정 권장
847,611,0.5182,1.3861,85.518,74.054,258.336,25.981,0.1498,0.0771,39.7,재촬영 권장
916,867,0.7948,1.0564,65.078,46.816,535.162,37.451,0.3683,0.1935,55.1,보정 권장
1055,1169,1.2326,0.9024,96.518,33.782,43.566,28.327,0.6388,0.031,34.43,재촬영 권장
2823,2141,6.0419,1.3186,147.597,33.815,177.402,3.899,0.7326,0.0787,53.29,보정 권장
1119,1005,1.1248,1.1131,152.604,33.316,620.284,19.554,0.3108,0.1643,60.02,보정 권장
2286,1557,3.5585,1.4681,70.282,32.239,67.705,8.728,0.2898,0.0507,41.0,재촬영 권장
1136,1085,1.232,1.0469,85.756,21.903,307.27,33.417,0.5521,0.0677,46.05,보정 권장
1357,1843,2.5,0.7363,96.071,17.992,265.294,37.046,0.3379,0.0771,55.07,보정 권장
1118,1575,1.761,0.7103,110.708,41.49,1169.584,33.592,0.4017,0.2882,73.64,제작 적합
2575,1704,4.3881,1.5109,70.518,34.327,203.23,18.976,0.6078,0.0587,53.11,보정 권장
1379,896,1.2359,1.5387,68.118,64.929,214.224,33.456,0.3521,0.0986,46.45,보정 권장
681,713,0.4857,0.9561,92.127,50.275,539.652,23.418,0.0962,0.1427,48.24,보정 권장
724,797,0.5766,0.9086,128.45,49.776,75.773,14.065,0.2158,0.0533,32.25,재촬영 권장
1336,927,1.2392,1.441,77.776,31.624,204.93,40.387,0.4518,0.1016,43.52,보정 권장
702,926,0.6499,0.7582,120.368,42.821,165.887,41.452,0.1146,0.0609,37.99,보정 권장
1521,1902,2.8931,0.7996,167.342,51.498,220.62,43.285,0.3965,0.095,66.18,보정 권장
1243,1058,1.3152,1.1745,72.929,57.892,536.479,21.483,0.1994,0.1647,56.45,보정 권장
3297,3639,12.0,0.9061,116.742,43.31,411.663,46.511,0.7452,0.1252,75.91,제작 적합
647,647,0.4186,0.9987,165.99,64.424,127.44,23.09,0.8397,0.0669,31.81,재촬영 권장
1519,1582,2.4023,0.96,108.269,45.144,282.729,39.149,0.2595,0.1275,61.69,보정 권장
888,816,0.7247,1.0881,102.053,59.271,956.096,22.847,0.4962,0.2463,66.82,보정 권장
1351,950,1.2829,1.4217,171.54,36.183,118.301,26.864,0.2771,0.0304,35.27,재촬영 권장
1524,1490,2.2715,1.0229,112.752,12.373,284.892,2.0,0.3943,0.0709,51.8,보정 권장
538,458,0.2467,1.1747,169.18,49.83,210.107,25.773,0.7746,0.0924,33.03,재촬영 권장
1218,2033,2.4751,0.599,142.159,58.056,236.218,31.275,0.366,0.1016,65.54,보정 권장
3309,3350,11.0869,0.9879,111.286,55.356,57.62,24.259,0.3985,0.0237,58.83,보정 권장
1038,1281,1.3298,0.8099,144.188,52.599,889.934,54.587,0.2803,0.1998,72.72,제작 적합
1365,1851,2.5269,0.7373,137.818,38.725,124.53,13.725,0.6563,0.0376,52.09,보정 권장
2010,2503,5.0308,0.8029,165.835,30.479,629.5,22.11,0.02,0.1883,68.07,보정 권장
1260,1370,1.7256,0.9199,103.066,54.931,142.911,17.332,0.3703,0.0544,47.73,재촬영 권장
1221,971,1.1856,1.2573,126.648,52.676,142.381,22.107,0.4417,0.0592,48.84,재촬영 권장
430,599,0.2579,0.7178,122.539,34.904,744.916,44.44,0.331,0.1958,61.16,보정 권장
1894,1880,3.561,1.0077,153.166,64.97,611.526,50.692,0.6054,0.1932,92.4,제작 적합
1265,1428,1.8063,0.886,83.993,29.108,301.648,20.189,0.6664,0.1023,46.92,보정 권장
861,934,0.8039,0.9213,165.679,34.497,495.961,19.878,0.1958,0.1557,47.17,재촬영 권장
1697,1321,2.2414,1.2849,143.653,74.456,192.821,13.8,0.8268,0.0714,55.38,보정 권장
1163,1017,1.1827,1.144,72.323,60.634,248.124,48.288,0.1938,0.0925,46.05,재촬영 권장
1318,943,1.243,1.397,173.331,38.556,137.827,45.694,0.682,0.0636,41.07,재촬영 권장
1822,1894,3.4515,0.9621,214.364,50.173,564.037,28.516,0.477,0.1424,75.23,제작 적합
710,845,0.5997,0.8403,165.073,47.786,133.94,10.455,0.3593,0.0609,32.03,재촬영 권장
2203,2330,5.1332,0.9456,182.079,3.0,951.559,11.707,0.3763,0.2737,69.15,보정 권장
777,731,0.5685,1.0625,128.415,28.683,188.144,32.389,0.444,0.0901,42.27,보정 권장
1073,1027,1.1015,1.0451,58.54,44.085,254.657,37.691,0.4875,0.092,44.83,보정 권장
2934,3848,11.2887,0.7625,51.235,38.581,494.88,2.0,0.2844,0.1244,60.81,보정 권장
2375,2322,5.5166,1.0229,135.203,49.448,255.428,25.502,0.4079,0.0676,70.23,보정 권장
1520,1436,2.1836,1.0587,101.321,65.331,191.204,52.656,0.3113,0.0591,61.2,보정 권장
1269,676,0.8578,1.8764,88.417,39.212,243.335,26.955,0.2313,0.0846,37.34,재촬영 권장
1409,881,1.2421,1.5987,122.49,25.962,558.859,50.855,0.3029,0.1573,65.08,보정 권장
1314,1626,2.1363,0.8079,149.623,50.847,137.675,39.087,0.243,0.0319,53.15,보정 권장
1388,1491,2.0687,0.9307,66.89,39.121,223.151,14.82,0.3744,0.0532,44.72,재촬영 권장
1131,1630,1.8429,0.6936,107.045,42.191,252.325,25.903,0.5278,0.0411,56.29,보정 권장
1295,1502,1.9453,0.8627,185.395,39.748,544.347,28.198,0.4717,0.0937,66.6,제작 적합
1336,1234,1.6491,1.0821,81.988,85.353,228.515,16.665,0.8054,0.0745,47.12,보정 권장
859,636,0.5463,1.3518,159.79,4.667,1272.744,16.422,0.0521,0.3846,43.39,재촬영 권장
1023,1228,1.2564,0.8334,105.611,38.01,217.147,51.095,0.5345,0.1102,51.79,보정 권장
1967,2316,4.5554,0.8491,146.832,44.934,201.854,16.317,0.4512,0.0509,63.54,보정 권장
584,999,0.5837,0.5846,168.893,30.939,214.333,45.098,0.5968,0.0766,39.81,재촬영 권장
1272,1325,1.6863,0.9601,154.651,61.197,76.438,23.889,0.579,0.0098,48.5,보정 권장
856,1117,0.9563,0.7667,161.366,59.639,98.338,29.641,0.4203,0.0183,42.59,재촬영 권장
1392,1589,2.2108,0.876,78.936,44.14,155.068,37.866,0.4811,0.0348,53.33,보정 권장
1064,1325,1.4097,0.8031,169.546,40.128,694.858,21.62,0.3161,0.1892,62.05,보정 권장
2717,2782,7.5595,0.9767,90.892,42.985,242.657,37.951,0.5605,0.077,65.83,제작 적합
1426,2213,3.1553,0.6444,135.382,43.114,161.625,2.0,0.1118,0.0655,53.02,보정 권장
652,941,0.6142,0.693,135.33,43.589,753.962,36.156,0.5898,0.2218,66.61,보정 권장
2496,1466,3.6592,1.7029,144.405,41.616,1009.813,2.0,0.4458,0.2657,81.49,제작 적합
850,1172,0.996,0.7248,138.478,49.544,773.794,26.824,0.3623,0.2142,67.89,제작 적합
951,1251,1.1899,0.7602,91.248,58.558,116.01,41.959,0.4081,0.0271,46.53,재촬영 권장
2049,1295,2.6527,1.5829,71.005,22.855,160.09,38.712,0.4213,0.0331,49.99,보정 권장
1603,801,1.2848,2.0,159.894,26.088,1278.987,11.822,0.6835,0.3098,57.02,보정 권장
1826,2447,4.467,0.7461,132.433,13.527,310.594,13.625,0.98,0.1106,54.56,보정 권장
953,1045,0.9961,0.912,170.975,60.595,196.487,20.359,0.6696,0.0624,42.42,보정 권장
1117,1026,1.1458,1.0891,123.211,49.506,477.218,32.607,0.3482,0.1019,64.21,보정 권장
1306,848,1.1078,1.5406,68.793,54.095,618.953,2.0,0.5634,0.1735,58.94,보정 권장
969,1240,1.2021,0.7814,163.645,19.269,149.479,29.815,0.5712,0.0324,37.82,재촬영 권장
2249,2391,5.3786,0.9405,110.185,77.129,304.587,34.36,0.2835,0.1294,74.16,보정 권장
2068,1703,3.5221,1.2145,138.68,34.041,575.572,26.037,0.2231,0.1523,77.93,제작 적합
3223,2891,9.3194,1.1148,99.102,48.028,87.988,37.354,0.4386,0.0556,60.38,보정 권장
3305,3631,12.0,0.9102,190.772,60.379,252.793,33.132,0.5954,0.105,65.03,보정 권장
875,904,0.791,0.9671,89.937,27.234,91.699,22.417,0.1599,0.0238,23.68,재촬영 권장
1229,1733,2.1309,0.7091,111.503,35.166,103.156,2.893,0.3202,0.0473,42.9,재촬영 권장
809,858,0.6939,0.9422,129.298,48.225,150.607,31.868,0.5531,0.0687,46.31,보정 권장
964,1030,0.9933,0.9356,81.313,90.0,384.087,16.657,0.4575,0.1183,55.16,보정 권장
1096,1035,1.1344,1.0598,138.221,50.42,187.099,21.903,0.7049,0.074,45.72,보정 권장
820,942,0.7724,0.8704,189.476,73.915,139.475,36.708,0.196,0.0283,36.93,재촬영 권장
934,831,0.776,1.1251,105.382,66.702,261.873,49.843,0.8734,0.0965,48.34,재촬영 권장
1504,1168,1.7564,1.2881,140.806,51.624,89.05,29.467,0.1732,0.0325,45.06,보정 권장
834,802,0.669,1.0396,15.023,27.194,367.743,37.757,0.0848,0.1189,29.79,재촬영 권장
2159,1977,4.2676,1.0919,123.443,64.076,692.085,9.777,0.4394,0.2114,88.42,제작 적합
942,930,0.8756,1.0134,112.478,18.034,232.799,33.437,0.2458,0.0916,38.11,재촬영 권장
