width,height,megapixels,aspect_ratio,brightness,contrast,sharpness,colorfulness,subject_ratio,edge_density,quality_score,label
1504,1153,1.7342,1.3037,118.919,10.104,36.933,17.583,0.6575,0.0292,36.72,재촬영 권장
1331,1629,2.1688,0.8172,83.491,40.671,797.852,30.059,0.1913,0.2395,66.87,보정 권장
1026,1034,1.0606,0.9919,204.784,49.259,431.227,25.211,0.3697,0.1366,48.6,보정 권장
1142,916,1.0463,1.2474,100.569,36.238,270.131,19.921,0.4618,0.0874,45.77,재촬영 권장
3073,3555,10.9236,0.8642,170.518,3.917,158.486,43.58,0.5032,0.0573,58.39,보정 권장
809,832,0.6733,0.9725,199.009,45.183,78.29,15.434,0.4448,0.0438,26.72,재촬영 권장
894,869,0.7769,1.028,84.939,21.11,220.395,42.424,0.5578,0.0768,38.9,재촬영 권장
991,975,0.9656,1.0161,134.28,56.419,218.983,23.469,0.1962,0.0682,45.85,보정 권장
2081,2827,5.8831,0.7362,108.762,42.974,649.285,31.628,0.7098,0.1616,82.05,제작 적합
3497,3431,12.0,1.0192,143.251,49.483,80.781,14.655,0.2478,0.0,53.82,보정 권장
1946,1386,2.6969,1.4045,135.473,56.199,885.59,30.002,0.4538,0.2392,88.62,제작 적합
844,1243,1.0487,0.6792,200.462,35.396,248.886,19.316,0.5331,0.0774,37.66,재촬영 권장
1299,1048,1.361,1.2397,146.261,59.513,703.827,6.026,0.6433,0.2202,68.16,보정 권장
2318,2250,5.2147,1.0303,122.311,66.927,100.488,29.844,0.5986,0.0541,66.91,보정 권장
866,1017,0.8809,0.8518,167.684,51.845,329.709,29.403,0.5932,0.1253,50.37,보정 권장
3492,2118,7.395,1.6489,111.784,68.469,725.384,41.552,0.6628,0.2361,91.94,제작 적합
2943,2432,7.1568,1.2099,108.05,33.616,267.438,34.029,0.4182,0.0847,66.34,보정 권장
1256,1696,2.1305,0.7409,212.18,61.1,63.998,16.113,0.5726,0.0192,40.84,재촬영 권장
1909,1874,3.5775,1.0188,89.825,49.577,179.021,21.641,0.7082,0.0811,56.92,보정 권장
2130,1844,3.9272,1.1551,103.104,27.204,390.901,2.0,0.3147,0.1058,62.15,보정 권장
2780,2914,8.1006,0.9539,124.415,43.388,68.238,14.644,0.2049,0.032,51.96,보정 권장
960,809,0.7763,1.1862,80.387,35.342,65.506,48.009,0.2725,0.0652,30.15,재촬영 권장
2386,2426,5.7906,0.9835,38.303,34.945,298.161,51.011,0.6867,0.1056,56.74,보정 권장
1298,1099,1.4268,1.1815,164.874,46.333,102.3,40.626,0.6576,0.0675,43.88,보정 권장
1198,836,1.0022,1.4328,91.269,63.709,445.705,34.273,0.3836,0.1045,60.57,보정 권장
1361,1612,2.1936,0.8446,101.008,39.132,83.499,38.206,0.4869,0.0416,52.22,보정 권장
1317,1252,1.6491,1.0521,107.759,47.014,46.024,36.812,0.5263,0.0539,47.87,보정 권장
856,961,0.8223,0.8906,83.394,18.633,119.719,6.154,0.6251,0.0243,24.62,재촬영 권장
700,678,0.475,1.0323,79.692,46.695,926.855,18.044,0.1226,0.2557,47.76,보정 권장
798,1074,0.8566,0.7432,129.081,65.353,110.699,46.454,0.3495,0.0558,50.36,보정 권장
2529,2923,7.391,0.8652,218.553,59.229,239.99,46.387,0.4007,0.0339,61.95,보정 권장
3337,3505,11.6985,0.9521,152.103,53.254,301.29,33.407,0.5001,0.1273,74.58,제작 적합
2120,1693,3.5904,1.2519,152.522,35.411,102.428,25.805,0.4585,0.0314,57.47,보정 권장
2783,2090,5.8152,1.3315,62.433,27.423,645.61,24.772,0.3912,0.1787,71.54,제작 적합
950,1322,1.2561,0.7183,121.681,43.123,283.071,22.579,0.4954,0.1244,54.92,보정 권장
1237,1509,1.8658,0.8198,75.315,20.948,360.582,17.29,0.02,0.0744,38.91,재촬영 권장
1741,1481,2.5796,1.1755,153.532,22.804,52.943,3.472,0.9735,0.0426,33.64,재촬영 권장
678,1115,0.7558,0.6077,113.524,61.592,49.806,32.141,0.5871,0.0236,41.59,재촬영 권장
855,960,0.8205,0.8907,124.172,28.446,20.122,23.834,0.5979,0.026,33.95,재촬영 권장
1460,1496,2.1828,0.976,119.104,76.805,203.442,27.122,0.3331,0.0545,62.56,보정 권장
1433,1046,1.4991,1.3692,99.303,19.327,196.33,53.771,0.5174,0.0964,48.02,보정 권장
955,804,0.7679,1.1881,61.789,52.462,463.49,38.26,0.799,0.1135,48.17,보정 권장
1615,1753,2.8321,0.9215,145.828,23.912,921.621,20.376,0.7586,0.2577,73.22,제작 적합
1200,1315,1.5781,0.912,67.324,47.907,192.173,38.101,0.4592,0.0789,47.85,보정 권장
2170,2310,5.0147,0.9394,75.415,26.254,189.588,9.283,0.2333,0.0656,45.39,재촬영 권장
1707,1166,1.9907,1.4636,110.737,45.522,362.598,44.615,0.4743,0.1052,68.78,보정 권장
1171,1303,1.5263,0.8985,94.398,42.01,958.734,33.718,0.3949,0.2544,68.74,보정 권장
1442,1556,2.2435,0.9269,133.109,36.747,115.016,27.397,0.593,0.0693,53.77,보정 권장
1368,1252,1.7132,1.0921,163.059,53.92,424.825,37.975,0.2267,0.1353,61.72,보정 권장
1031,1063,1.0963,0.9703,132.595,71.695,193.445,50.208,0.4143,0.0668,59.19,보정 권장
1151,1210,1.3929,0.9519,130.525,34.254,178.774,23.658,0.4931,0.0429,50.23,재촬영 권장
1724,2277,3.926,0.7569,123.573,60.562,503.882,16.411,0.3664,0.1492,82.38,제작 적합
1889,1894,3.5787,0.9971,156.962,46.302,118.559,59.324,0.6282,0.0604,62.23,보정 권장
2387,2667,6.3646,0.895,48.807,44.258,92.295,30.289,0.2514,0.0425,45.3,보정 권장
764,571,0.4358,1.3385,137.326,83.888,440.413,50.747,0.2344,0.1589,60.54,보정 권장
1286,1092,1.4041,1.1774,85.327,6.096,236.389,20.721,0.3865,0.041,39.29,재촬영 권장
1170,1177,1.3772,0.994,73.324,32.656,190.72,35.308,0.5896,0.1176,41.48,재촬영 권장
1661,1405,2.3344,1.1819,122.833,12.514,214.473,21.197,0.3947,0.07,53.34,보정 권장
1106,1204,1.3314,0.9185,107.148,39.204,378.448,38.839,0.345,0.0919,57.02,보정 권장
1280,984,1.2602,1.3009,145.971,40.707,173.313,26.242,0.5855,0.0285,46.37,보정 권장
2010,2013,4.0464,0.9987,166.67,90.0,482.197,20.792,0.4855,0.158,82.31,제작 적합
1648,1424,2.3477,1.157,29.614,50.968,351.376,51.55,0.3562,0.1194,58.28,보정 권장
712,983,0.7001,0.7242,119.746,76.803,919.607,34.768,0.4682,0.2456,74.02,제작 적합
2692,2469,6.6472,1.0905,200.974,67.942,756.976,2.0,0.4058,0.2083,77.42,제작 적합
1793,2735,4.9048,0.6557,157.343,36.938,523.903,26.801,0.5518,0.1544,78.46,제작 적합
847,1409,1.1931,0.6012,180.496,53.335,201.637,17.351,0.4715,0.062,43.91,재촬영 권장
1979,2136,4.2262,0.9267,126.712,74.552,269.293,13.176,0.3094,0.1105,71.16,제작 적합
908,1137,1.032,0.7985,65.229,47.881,141.913,21.97,0.3646,0.0681,34.12,재촬영 권장
2396,2299,5.5084,1.0419,77.642,48.515,2000.0,23.436,0.3755,0.5,78.47,제작 적합
1697,968,1.6439,1.7528,151.109,53.756,198.323,30.515,0.5108,0.0369,56.19,보정 권장
888,1093,0.971,0.8123,160.996,17.965,399.582,19.053,0.5116,0.1474,47.96,재촬영 권장
1106,1293,1.4295,0.8556,93.381,30.305,823.877,4.234,0.3037,0.2165,57.12,보정 권장
1028,977,1.0039,1.0527,111.91,50.791,70.994,22.62,0.4142,0.0171,40.06,재촬영 권장
1640,1450,2.3776,1.1312,133.104,54.517,115.167,42.246,0.5,0.0747,64.73,제작 적합
1497,1564,2.3414,0.9569,52.636,28.403,169.825,11.104,0.636,0.0725,38.53,재촬영 권장
1401,1475,2.0655,0.9498,108.642,39.018,98.97,38.626,0.49,0.0045,53.23,보정 권장
1202,1008,1.2119,1.192,187.371,42.592,77.366,36.409,0.783,0.0062,32.05,재촬영 권장
291,255,0.0741,1.1388,210.068,42.08,152.252,23.823,0.4512,0.0502,26.41,재촬영 권장
1296,1678,2.1743,0.7723,118.315,57.144,776.679,34.333,0.5735,0.1891,83.25,제작 적합
597,608,0.363,0.9804,195.907,46.672,465.667,19.64,0.3906,0.1334,44.05,재촬영 권장
1585,1572,2.4916,1.0089,101.644,47.732,250.369,24.483,0.2754,0.135,57.6,보정 권장
2062,2684,5.5337,0.7683,90.236,19.532,248.945,15.855,0.4651,0.142,56.36,보정 권장
1653,1549,2.5591,1.0671,33.118,25.975,54.389,36.492,0.53,0.0329,40.02,재촬영 권장
1066,1321,1.4087,0.807,160.926,50.501,454.499,49.064,0.5026,0.1498,67.96,보정 권장
1473,1155,1.7011,1.2751,107.686,16.316,356.338,20.602,0.4718,0.127,53.9,보정 권장
1365,1300,1.7743,1.0494,216.242,49.565,91.643,46.656,0.3895,0.0407,40.84,재촬영 권장
1117,1092,1.22,1.0226,135.917,32.957,292.592,2.0,0.3055,0.0637,45.32,보정 권장
1010,1171,1.1826,0.8626,130.199,30.254,204.212,17.724,0.3949,0.0927,45.03,재촬영 권장
919,947,0.8708,0.9708,50.415,56.299,152.341,15.96,0.5274,0.0547,34.01,재촬영 권장
1880,3099,5.8269,0.6069,182.672,32.659,99.733,53.953,0.6114,0.0542,54.12,보정 권장
1219,1618,1.9722,0.7536,108.157,29.415,132.235,21.806,0.02,0.0674,36.75,재촬영 권장
2276,2078,4.7294,1.095,116.232,32.671,103.978,40.86,0.5518,0.03,61.36,보정 권장
968,1649,1.597,0.5873,34.42,45.747,368.149,2.0,0.6333,0.146,43.19,보정 권장
1624,1314,2.1342,1.2357,159.735,90.0,337.671,31.609,0.6645,0.1061,66.83,보정 권장
1053,1629,1.7157,0.6463,162.237,6.869,324.918,37.893,0.5126,0.1059,54.89,보정 권장
1914,1584,3.0334,1.2083,98.457,44.35,206.279,29.502,0.5622,0.0631,63.7,보정 권장
1846,2280,4.2086,0.8095,126.416,40.378,168.419,2.0,0.37,0.0765,59.2,보정 권장
1736,1429,2.4815,1.215,138.407,61.686,1528.909,32.477,0.4315,0.4227,87.45,제작 적합
1062,1027,1.0906,1.0333,161.229,38.062,45.489,41.307,0.5375,0.0204,39.75,재촬영 권장
822,1206,0.9912,0.681,126.897,3.0,714.076,48.409,0.2577,0.2104,63.07,보정 권장
3488,2552,8.9031,1.3665,191.632,68.344,334.398,35.565,0.3103,0.0951,69.22,보정 권장
1493,1041,1.5544,1.4339,113.029,25.173,258.86,6.49,0.4806,0.0603,47.2,보정 권장
1230,1251,1.539,0.9837,98.477,43.571,153.847,27.1,0.2166,0.052,41.49,재촬영 권장
2642,2829,7.4757,0.9338,104.065,20.189,199.779,42.602,0.4557,0.0823,61.77,보정 권장
2262,2354,5.324,0.9608,21.232,25.059,83.652,18.607,0.1907,0.0522,34.8,재촬영 권장
1592,2031,3.2336,0.7837,90.47,35.75,69.785,37.886,0.4803,0.0593,56.19,보정 권장
1355,1030,1.3961,1.3161,163.03,59.94,220.058,23.338,0.4515,0.0617,52.04,보정 권장
3237,3707,12.0,0.8731,133.353,59.674,54.809,31.297,0.3497,0.0278,62.64,보정 권장
1677,1699,2.8486,0.9873,90.018,33.913,518.081,40.577,0.2842,0.1512,72.97,제작 적합
1638,1997,3.2721,0.8201,136.768,53.568,663.949,20.126,0.3592,0.1986,86.17,제작 적합
1211,1416,1.7146,0.8551,42.041,37.93,11.004,69.954,0.0603,0.0206,27.19,재촬영 권장
638,878,0.56,0.7266,111.4,46.585,60.175,32.126,0.3782,0.0162,35.5,재촬영 권장
908,663,0.6016,1.3693,143.797,47.34,311.036,34.792,0.467,0.0669,52.34,보정 권장
1666,1731,2.8847,0.9622,150.724,55.655,294.681,19.662,0.6545,0.1175,67.31,제작 적합
1903,1495,2.8457,1.2731,91.824,33.561,269.227,30.874,0.3589,0.1089,60.18,보정 권장
1272,1267,1.6115,1.0033,159.329,42.193,356.074,26.262,0.4164,0.0959,57.11,보정 권장
765,910,0.6967,0.8406,197.606,48.444,476.996,9.633,0.6863,0.1691,43.85,보정 권장
710,770,0.5464,0.9216,105.751,46.157,531.214,8.62,0.7462,0.1518,50.24,보정 권장
1138,1309,1.489,0.8693,152.468,30.282,1220.429,34.011,0.3625,0.3345,67.06,보정 권장
735,734,0.5394,1.002,60.531,75.322,249.709,28.777,0.6274,0.108,41.24,재촬영 권장
2022,2221,4.4914,0.9104,44.355,36.283,530.446,2.0,0.6496,0.1432,62.5,보정 권장
2288,2466,5.6437,0.9278,147.352,58.066,56.595,2.0,0.5356,0.0189,57.73,보정 권장
2916,4116,12.0,0.7085,124.579,48.162,216.69,25.689,0.2764,0.0396,64.8,보정 권장
1898,2323,4.4089,0.8173,130.858,66.358,81.396,29.041,0.2841,0.0467,63.95,보정 권장
1332,881,1.173,1.5121,99.549,5.451,855.038,38.499,0.5462,0.2431,63.49,보정 권장
878,1039,0.9127,0.8455,111.128,81.184,1996.022,12.676,0.8492,0.5,62.16,보정 권장
262,341,0.0895,0.7683,155.324,40.689,397.418,38.279,0.4157,0.1318,49.96,보정 권장
1129,1037,1.1709,1.088,191.628,22.472,75.736,25.698,0.7172,0.0413,25.31,재촬영 권장
1557,1095,1.7055,1.4216,114.236,46.802,220.634,22.904,0.7737,0.0985,49.16,보정 권장
1823,2622,4.7787,0.6952,56.871,84.859,250.762,28.018,0.2311,0.0624,59.91,보정 권장
1814,1911,3.468,0.9492,173.899,53.533,292.054,43.79,0.3432,0.1011,69.03,제작 적합
1703,1994,3.3962,0.8538,147.03,22.46,651.13,37.802,0.7073,0.1934,79.22,제작 적합
1249,1940,2.424,0.6439,150.21,36.203,576.702,42.446,0.6151,0.1621,78.69,제작 적합
2087,1737,3.6254,1.2017,130.217,68.362,22.516,20.375,0.5414,0.0606,65.25,보정 권장
2705,2721,7.3595,0.9942,215.889,19.368,836.196,26.026,0.4446,0.2382,68.25,보정 권장
884,868,0.767,1.018,125.964,41.248,156.381,13.727,0.5554,0.0864,41.08,재촬영 권장
1048,1265,1.3252,0.8286,143.518,39.204,147.832,22.253,0.3376,0.0753,43.01,재촬영 권장
801,715,0.5732,1.1204,48.789,83.225,875.173,24.45,0.8789,0.2355,50.46,보정 권장
2739,3134,8.5844,0.8739,99.775,39.245,192.341,23.481,0.2475,0.1072,56.11,보정 권장
2490,2581,6.4259,0.9649,95.463,67.958,71.246,39.982,0.1363,0.0604,57.02,보정 권장
1727,2279,3.9361,0.758,121.753,32.344,74.192,35.952,0.4723,0.0392,60.2,보정 권장
708,960,0.6801,0.7378,136.882,30.091,257.68,40.628,0.6961,0.0824,44.72,재촬영 권장
1806,1294,2.3368,1.3964,92.958,62.418,553.678,31.795,0.3616,0.138,77.33,제작 적합
1194,1356,1.6193,0.8809,192.221,55.592,944.712,45.016,0.4373,0.2535,71.88,제작 적합
1521,1414,2.1509,1.0756,80.317,13.549,209.848,31.592,0.2702,0.068,43.58,재촬영 권장
1294,1305,1.6885,0.9916,104.923,55.895,160.548,43.518,0.4338,0.0647,56.01,보정 권장
1691,1888,3.1935,0.8956,132.488,55.949,1054.665,37.041,0.271,0.2755,89.0,제작 적합
1111,1262,1.4018,0.8807,72.888,33.473,162.147,40.293,0.2734,0.0723,38.17,재촬영 권장
2248,1920,4.3157,1.1706,145.788,48.385,909.253,29.062,0.1921,0.246,81.35,제작 적합
1518,1637,2.4853,0.9273,148.278,49.259,302.33,12.659,0.3519,0.0642,61.51,보정 권장
1216,1263,1.5363,0.9628,111.247,35.75,303.106,9.773,0.7684,0.0859,45.93,재촬영 권장
1349,1341,1.8085,1.0056,199.355,33.983,198.114,57.403,0.4365,0.0518,46.78,보정 권장
1344,1001,1.3453,1.342,126.224,32.439,319.823,35.43,0.4799,0.0747,58.22,보정 권장
2221,1873,4.1605,1.1855,134.202,39.579,161.215,36.208,0.8328,0.0555,59.77,보정 권장
1313,1193,1.5665,1.1004,84.52,20.666,132.902,27.663,0.337,0.0719,35.87,재촬영 권장
1505,1733,2.6079,0.8686,55.936,43.668,216.824,23.58,0.2741,0.0521,48.15,보정 권장
997,1409,1.4049,0.7079,97.694,17.701,136.406,70.205,0.5368,0.0142,43.36,재촬영 권장
816,644,0.5255,1.2679,110.083,45.761,322.014,14.321,0.2337,0.0976,40.77,보정 권장
2399,1884,4.5206,1.2733,104.724,42.907,264.451,29.122,0.5041,0.1465,68.67,보정 권장
863,894,0.7717,0.9654,153.721,25.904,193.435,29.281,0.6464,0.0569,37.22,재촬영 권장
2054,1794,3.6854,1.1451,27.437,59.654,204.638,14.166,0.2598,0.077,49.96,보정 권장
1884,1550,2.9191,1.2157,77.566,79.029,199.39,12.196,0.3565,0.0619,59.58,보정 권장
745,605,0.4506,1.231,49.856,68.096,1171.354,20.156,0.7402,0.3304,51.44,보정 권장
1037,824,0.8546,1.259,176.654,19.991,242.898,25.187,0.2633,0.11,32.22,재촬영 권장
1060,1188,1.2592,0.8923,100.338,67.168,143.512,23.201,0.3287,0.0531,46.19,재촬영 권장
1181,809,0.9555,1.4604,102.348,48.313,187.673,41.385,0.4877,0.0911,49.19,보정 권장
711,971,0.6902,0.7322,78.858,43.461,444.499,13.498,0.3918,0.1097,46.4,재촬영 권장
2198,1772,3.8932,1.2404,158.96,33.76,204.455,35.666,0.2991,0.0757,59.5,보정 권장
1351,1194,1.6122,1.1314,106.48,44.279,213.819,50.561,0.7233,0.0483,52.04,보정 권장
1876,1508,2.83,1.2441,131.849,69.213,194.437,42.501,0.3459,0.0728,73.04,제작 적합
1474,921,1.3576,1.5996,41.53,54.123,283.958,14.051,0.5039,0.0791,43.36,보정 권장
1953,1348,2.6325,1.4493,169.854,36.997,347.963,2.0,0.3754,0.1122,58.21,보정 권장
874,1164,1.0173,0.751,138.78,32.426,364.944,41.835,0.4067,0.0891,56.27,보정 권장
1132,1726,1.9528,0.6556,145.073,36.957,56.19,36.954,0.2088,0.0391,43.45,보정 권장
2035,1659,3.3764,1.2266,172.482,54.871,93.708,21.801,0.6069,0.0461,55.93,보정 권장
1271,1638,2.0828,0.7759,115.256,77.736,23.004,47.929,0.3721,0.0147,57.98,보정 권장
1149,1153,1.3254,0.9969,116.303,25.495,503.314,24.336,0.6672,0.1301,58.13,보정 권장
963,781,0.7521,1.2336,151.745,44.353,663.266,31.511,0.2449,0.1624,60.37,보정 권장
1242,1873,2.3257,0.663,140.09,37.509,788.28,15.466,0.3627,0.2095,74.6,제작 적합
1269,2150,2.7281,0.5901,113.203,30.938,278.448,34.467,0.5293,0.0981,65.96,보정 권장
1300,1219,1.5851,1.067,124.777,51.495,687.834,23.976,0.4655,0.1897,76.21,제작 적합
1006,995,1.0008,1.0112,102.821,54.231,236.642,22.951,0.3328,0.0827,45.9,보정 권장
1751,1862,3.2592,0.9404,151.653,19.074,219.465,45.118,0.4229,0.1008,63.17,보정 권장
3481,3447,12.0,1.0097,160.425,25.891,61.181,33.002,0.2218,0.0293,47.64,보정 권장
1108,1374,1.5234,0.8064,123.239,65.714,121.035,9.063,0.456,0.0566,50.96,보정 권장
1362,1988,2.708,0.685,198.293,50.049,143.663,39.681,0.02,0.073,45.22,보정 권장
1641,1711,2.8089,0.9592,61.422,53.698,558.841,41.712,0.4764,0.1705,79.52,제작 적합
395,503,0.1986,0.7843,113.697,35.435,1087.626,18.349,0.6814,0.3001,53.87,보정 권장
1218,1836,2.2359,0.6631,191.606,37.595,160.478,24.498,0.6012,0.0622,45.64,재촬영 권장
1096,966,1.059,1.1348,106.163,52.571,342.016,30.753,0.5939,0.1447,55.4,보정 권장
2617,2657,6.9543,0.9848,58.938,35.512,313.54,26.509,0.3737,0.0973,58.27,보정 권장
1327,1199,1.5913,1.107,178.979,24.58,121.993,31.734,0.5314,0.0432,39.94,재촬영 권장
881,1128,0.9934,0.7809,144.928,44.388,52.018,39.099,0.3768,0.0454,40.66,재촬영 권장
1181,1392,1.643,0.8483,75.206,60.533,124.259,23.115,0.4308,0.0844,45.42,재촬영 권장
1345,1727,2.3234,0.779,154.13,25.998,67.164,59.131,0.4291,0.0657,50.33,보정 권장
984,1228,1.2083,0.8012,82.079,63.241,184.072,20.034,0.02,0.0672,35.71,재촬영 권장
1415,1348,1.9074,1.0501,69.352,56.902,215.254,22.455,0.6066,0.091,49.61,보정 권장
697,848,0.5912,0.8222,116.981,28.99,207.751,57.564,0.5253,0.0825,45.11,재촬영 권장
1336,1222,1.633,1.0931,103.808,44.515,210.114,63.384,0.5923,0.0745,54.8,보정 권장
2092,1922,4.0199,1.0887,79.077,43.638,377.404,30.526,0.2818,0.128,65.49,보정 권장
4419,2663,11.7682,1.6591,108.43,55.684,105.746,27.379,0.5666,0.0594,62.4,보정 권장
1633,2313,3.7773,0.706,82.818,56.268,542.864,14.979,0.5299,0.1591,78.72,제작 적합
1786,1430,2.5546,1.2485,125.495,21.158,54.356,45.999,0.0596,0.0687,45.06,보정 권장
2382,2436,5.8039,0.9779,122.169,20.351,258.325,32.424,0.141,0.0775,58.05,보정 권장
2233,2241,5.0045,0.9965,152.968,62.738,346.319,18.153,0.4555,0.1351,74.64,제작 적합
2494,3584,8.9406,0.696,104.865,46.402,119.858,35.683,0.3314,0.0926,59.64,보정 권장
2173,2438,5.2991,0.8913,69.703,51.824,58.236,49.187,0.4436,0.0775,56.65,보정 권장
1472,1222,1.7987,1.2042,70.197,50.338,433.239,39.601,0.3356,0.1343,60.59,보정 권장
1572,1605,2.5238,0.9796,113.243,71.687,133.233,60.914,0.7056,0.0502,64.1,보정 권장
1549,1518,2.3499,1.0205,184.698,22.876,492.637,46.235,0.1173,0.1116,58.9,보정 권장
1562,1680,2.625,0.9299,157.131,63.804,486.702,36.168,0.2103,0.141,75.89,제작 적합
1788,1340,2.3951,1.3346,97.393,29.797,242.706,29.541,0.2773,0.1302,52.44,보정 권장
992,997,0.989,0.9946,160.884,57.354,243.631,37.702,0.2099,0.05,46.51,보정 권장
417,723,0.3012,0.5769,76.598,68.279,592.301,47.043,0.3462,0.1376,61.61,보정 권장
959,1140,1.0927,0.8411,163.746,19.75,342.096,42.022,0.4411,0.1229,49.53,보정 권장
444,727,0.3229,0.6113,107.755,51.565,105.497,44.768,0.2141,0.0593,34.99,재촬영 권장
1031,2062,2.1261,0.5,153.939,39.447,283.606,33.12,0.5097,0.0548,61.68,제작 적합
1326,1514,2.0082,0.8759,148.082,39.212,401.105,40.73,0.674,0.1196,65.19,보정 권장
786,563,0.4427,1.3957,111.997,45.146,292.592,47.013,0.6362,0.1005,48.44,보정 권장
1939,1916,3.7154,1.0118,136.261,25.655,289.142,27.684,0.7943,0.0624,61.68,제작 적합
1804,2419,4.3637,0.7459,80.324,27.226,213.697,11.854,0.6433,0.0932,51.18,보정 권장
1313,1661,2.1802,0.7904,120.161,56.097,219.318,54.167,0.4414,0.0487,66.65,보정 권장
3450,2600,8.9714,1.3266,166.567,59.436,105.389,38.167,0.7555,0.0696,58.58,보정 권장
3349,3219,10.7795,1.0402,250.0,34.278,67.567,23.845,0.5693,0.0415,43.08,재촬영 권장
827,817,0.6755,1.0121,151.327,18.476,669.547,33.277,0.772,0.1739,53.86,보정 권장
2240,2270,5.0844,0.9867,126.659,85.617,137.804,26.541,0.4137,0.0227,69.85,보정 권장
1733,1716,2.974,1.0096,82.517,63.955,297.709,6.129,0.0828,0.0881,56.99,보정 권장
1888,1544,2.9143,1.2231,165.621,50.788,63.489,27.43,0.245,0.0345,51.43,보정 권장
2307,2010,4.6374,1.1481,56.696,26.056,281.116,10.065,0.4784,0.0882,52.93,보정 권장
1051,996,1.047,1.0554,90.942,34.022,116.156,32.839,0.5426,0.0376,38.49,재촬영 권장
951,1234,1.1735,0.7705,137.508,48.703,2000.0,28.47,0.4119,0.5,71.04,제작 적합
1039,915,0.9504,1.1363,74.79,27.303,97.897,45.87,0.6211,0.0625,33.11,재촬영 권장
924,1097,1.0138,0.8428,184.933,72.895,102.671,28.319,0.2484,0.0279,37.49,재촬영 권장
1551,1180,1.8303,1.3145,166.992,46.819,567.618,35.237,0.3259,0.1582,69.5,보정 권장
628,863,0.5415,0.7278,100.352,51.372,675.563,25.818,0.6191,0.1986,60.82,보정 권장
